Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
277,Isaiah Jackson,24,LAC,C,1,0,5,2,2,1.000,0,0,,2,2,1.000,1.000,1,3,.333,0,1,1,0,0,0,0,0,5,0,,jacksis01
278,Pat Spencer,29,GSW,PG,39,8,609,95,218,.436,31,77,.403,64,141,.454,.507,26,34,.765,29,61,90,123,26,2,45,43,247,0,,spencpa01
279,Goga Bitadze,26,ORL,C,42,1,672,103,150,.687,2,10,.200,101,140,.721,.693,38,52,.731,88,124,212,49,30,49,22,88,246,0,,bitadgo01
280,Robert Williams,28,POR,C,38,1,620,109,145,.752,7,16,.438,102,129,.791,.776,20,28,.714,77,169,246,43,23,55,29,46,245,0,,williro04
281,Jaden Hardy,23,2TM,SG,35,4,443,81,201,.403,49,129,.380,32,72,.444,.525,33,42,.786,11,38,49,30,9,2,28,39,244,0,,hardyja02
281,Jaden Hardy,23,DAL,SG,34,4,428,78,194,.402,46,124,.371,32,70,.457,.521,31,40,.775,11,36,47,29,9,2,27,39,233,0,,hardyja02
281,Jaden Hardy,23,WAS,SG,1,0,15,3,7,.429,3,5,.600,0,2,.000,.643,2,2,1.000,0,2,2,1,0,0,1,0,11,0,,hardyja02
282,Tre Mann,24,CHO,PG,34,1,544,91,249,.365,43,130,.331,48,119,.403,.452,18,21,.857,20,58,78,73,17,4,45,57,243,0,,manntr01
283,Jonathan Kuminga,23,GSW,PF,20,13,476,88,194,.454,17,53,.321,71,141,.504,.497,49,66,.742,29,88,117,50,8,6,46,33,242,0,,kuminjo01
284,Tyler Herro,26,MIA,SG,11,10,349,90,181,.497,24,67,.358,66,114,.579,.564,37,41,.902,6,46,52,30,11,5,17,22,241,0,,herroty01
285,Paul Reed,26,DET,C,38,7,486,101,171,.591,10,26,.385,91,145,.628,.620,28,47,.596,70,91,161,48,35,25,37,61,240,0,,reedpa01
286,Cole Anthony,25,MIL,PG,35,0,527,98,231,.424,22,72,.306,76,159,.478,.472,16,26,.615,16,71,87,121,20,11,65,73,234,0,,anthoco01
287,Alex Caruso,31,OKC,SG,37,0,679,85,196,.434,39,120,.325,46,76,.605,.533,25,32,.781,19,79,98,75,50,13,29,44,234,0,,carusal01
288,Tyler Kolek,24,NYK,PG,48,1,636,93,220,.423,36,99,.364,57,121,.471,.505,12,18,.667,14,75,89,141,19,3,51,61,234,0,,kolekty01
289,Nolan Traoré,19,BRK,PG,31,8,650,84,209,.402,30,89,.337,54,120,.450,.474,33,43,.767,7,42,49,109,14,11,50,62,231,0,,traorno01
290,Craig Porter Jr.,25,CLE,PG,49,2,876,92,201,.458,26,69,.377,66,132,.500,.522,18,33,.545,67,101,168,155,50,30,43,56,228,0,,portecr01
291,Jarred Vanderbilt,26,LAL,PF,45,3,867,87,184,.473,24,79,.304,63,105,.600,.538,30,47,.638,65,160,225,60,44,16,46,83,228,0,,vandeja01
292,Nicolas Batum,37,LAC,PF,51,4,992,73,184,.397,69,175,.394,4,9,.444,.584,9,11,.818,19,115,134,42,37,19,34,79,224,0,,batumni01
293,Derrick Jones Jr.,28,LAC,SF,22,17,546,80,148,.541,28,70,.400,52,78,.667,.635,31,40,.775,17,39,56,27,19,24,17,44,219,0,,jonesde02
294,Quenton Jackson,27,IND,PG,26,10,414,71,148,.480,24,59,.407,47,89,.528,.561,50,65,.769,15,37,52,52,18,5,30,40,216,0,,jacksqu01
295,Jakob Poeltl,30,TOR,C,22,22,551,92,134,.687,0,0,,92,134,.687,.687,29,49,.592,59,109,168,45,16,11,34,68,213,0,,poeltja01
296,Jalen Pickett,26,DEN,SG,39,18,688,81,195,.415,40,107,.374,41,88,.466,.518,10,11,.909,18,84,102,99,13,4,28,38,212,0,,pickeja02
297,Karlo Matković,24,NOP,PF,43,2,556,88,146,.603,23,53,.434,65,93,.699,.682,10,17,.588,35,101,136,32,15,30,20,64,209,0,,matkoka01
298,Kris Murray,25,POR,SF,34,11,874,78,175,.446,20,78,.256,58,97,.598,.503,31,42,.738,61,75,136,42,40,14,31,68,207,0,,murrakr01
299,Thomas Bryant,28,CLE,C,39,0,408,73,143,.510,26,75,.347,47,68,.691,.601,32,38,.842,32,80,112,25,9,16,15,46,204,0,,bryanth01
300,Jaylen Clark,24,MIN,SG,53,0,711,73,171,.427,21,72,.292,52,99,.525,.488,37,59,.627,47,53,100,31,39,8,18,74,204,0,,clarkja02
301,Kevin Love,37,UTA,PF,29,5,500,65,163,.399,41,113,.363,24,50,.480,.525,31,37,.838,48,123,171,50,9,8,24,47,202,0,,loveke01
302,Julian Strawther,23,DEN,SG,32,4,441,70,155,.452,22,69,.319,48,86,.558,.523,40,51,.784,5,61,66,31,14,2,19,38,202,0,,strawju01
303,Tidjane Salaün,20,CHO,PF,32,0,512,73,142,.514,31,71,.437,42,71,.592,.623,24,34,.706,24,115,139,26,13,7,24,48,201,0,,salauti01
304,Aaron Holiday,29,HOU,PG,35,1,465,65,161,.404,42,108,.389,23,53,.434,.534,28,33,.848,6,24,30,34,16,4,21,47,200,0,,holidaa01
305,Micah Peavy,24,NOP,SG,46,1,693,84,220,.382,21,88,.239,63,132,.477,.430,11,15,.733,38,54,92,47,31,6,14,71,200,0,,peavymi01
306,Asa Newell,20,ATL,PF,39,1,442,79,147,.537,27,68,.397,52,79,.658,.629,14,25,.560,37,44,81,20,15,13,21,61,199,0,,newelas01
307,Trendon Watford,25,PHI,PF,32,5,530,79,155,.510,10,29,.345,69,126,.548,.542,31,43,.721,26,84,110,85,9,10,36,65,199,1,,watfotr01
308,Taylor Hendricks,22,2TM,PF,37,6,579,71,161,.441,29,86,.337,42,75,.560,.531,28,42,.667,32,85,117,29,18,8,24,52,199,0,,hendrta01
308,Taylor Hendricks,22,UTA,PF,33,6,492,58,128,.453,24,70,.343,34,58,.586,.547,23,32,.719,29,70,99,24,13,8,20,40,163,0,,hendrta01
308,Taylor Hendricks,22,MEM,PF,4,0,87,13,33,.394,5,16,.313,8,17,.471,.470,5,10,.500,3,15,18,5,5,0,4,12,36,0,,hendrta01
309,Jase Richardson,20,ORL,SG,39,0,471,73,155,.471,25,67,.373,48,88,.545,.552,27,37,.730,19,33,52,46,11,2,22,44,198,0,,richaja02
310,Dalton Knecht,24,LAL,SF,43,1,490,76,170,.447,30,98,.306,46,72,.639,.535,14,20,.700,13,52,65,15,9,9,19,40,196,0,,knechda01
311,Mike Conley,38,MIN,PG,44,9,812,56,174,.322,42,131,.321,14,43,.326,.443,41,46,.891,15,63,78,126,26,11,27,64,195,0,,conlemi01
312,Mitchell Robinson,27,NYK,C,39,14,766,83,119,.697,0,0,,83,119,.697,.697,29,71,.408,176,170,346,38,31,45,25,92,195,0,,robinmi01
313,Justin Edwards,22,PHI,SF,41,5,592,68,171,.398,37,110,.336,31,61,.508,.506,21,23,.913,18,45,63,44,28,8,24,64,194,0,,edwarju01
314,Cam Whitmore,21,WAS,SF,21,0,354,77,169,.456,16,56,.286,61,113,.540,.503,23,31,.742,19,39,58,15,15,8,18,25,193,0,,whitmca01
315,Trae Young,27,ATL,PG,10,10,280,56,135,.415,18,59,.305,38,76,.500,.481,63,73,.863,0,15,15,89,10,1,26,20,193,0,,youngtr01
316,Jamaree Bouyea,26,PHO,PG,28,0,438,79,157,.503,18,52,.346,61,105,.581,.561,16,22,.727,13,41,54,51,19,11,18,23,192,0,,bouyeja01
317,Josh Minott,23,BOS,PF,33,10,526,69,136,.507,34,77,.442,35,59,.593,.632,20,26,.769,40,78,118,33,24,12,20,51,192,0,,minotjo01
318,Tyrese Proctor,21,CLE,PG,39,1,404,66,169,.391,36,103,.350,30,66,.455,.497,23,27,.852,6,35,41,53,15,0,26,44,191,0,,proctty01
319,Christian Braun,24,DEN,SG,19,19,576,72,150,.480,11,44,.250,61,106,.575,.517,34,44,.773,29,53,82,53,10,7,22,43,189,0,,braunch01
320,Adem Bona,22,PHI,C,45,4,735,69,119,.580,2,5,.400,67,114,.588,.588,48,71,.676,81,95,176,10,17,57,34,97,188,0,,bonaad01
321,Jalen Wilson,25,BRK,PF,35,0,513,59,162,.364,35,99,.354,24,63,.381,.472,35,46,.761,7,48,55,22,14,2,19,44,188,0,,wilsoja03
322,Steven Adams,32,HOU,C,32,11,730,70,139,.504,0,0,,70,139,.504,.504,47,81,.580,145,131,276,48,22,20,35,55,187,0,,adamsst01
323,Baylor Scheierman,25,BOS,SG,49,8,705,66,147,.449,43,109,.394,23,38,.605,.595,12,14,.857,23,114,137,50,28,4,21,67,187,0,,scheiba01
324,Hugo González,19,BOS,SF,49,2,745,75,163,.460,25,76,.329,50,87,.575,.537,10,21,.476,42,121,163,28,29,12,29,87,185,0,,gonzahu01
325,Olivier-Maxence Prosper,23,MEM,PF,29,1,398,61,124,.492,23,55,.418,38,69,.551,.585,40,46,.870,25,58,83,19,8,4,20,26,185,0,,prospol01
326,Noah Penda,21,ORL,SF,38,2,519,67,154,.435,25,65,.385,42,89,.472,.516,25,39,.641,56,85,141,44,21,14,32,51,184,0,,pendano01
327,Ochai Agbaji,25,2TM,SG,43,13,666,72,173,.416,12,65,.185,60,108,.556,.451,25,29,.862,36,65,101,32,17,12,19,75,181,0,,agbajoc01
327,Ochai Agbaji,25,TOR,SG,42,13,650,72,170,.424,12,65,.185,60,105,.571,.459,25,29,.862,33,62,95,30,17,11,19,75,181,0,,agbajoc01
327,Ochai Agbaji,25,BRK,SG,1,0,16,0,3,.000,0,0,,0,3,.000,.000,0,0,,3,3,6,2,0,1,0,0,0,0,,agbajoc01
328,Johnny Furphy,21,IND,SG,35,21,643,70,149,.470,23,71,.324,47,78,.603,.547,17,35,.486,32,121,153,41,20,7,29,65,180,0,,furphjo01
329,Clint Capela,31,HOU,C,47,1,556,76,144,.528,0,0,,76,144,.528,.528,21,38,.553,101,112,213,26,24,37,19,40,173,0,,capelca01
330,Kyle Anderson,32,2TM,SF,23,3,472,69,124,.556,3,5,.600,66,119,.555,.569,28,43,.651,22,57,79,64,28,14,23,57,169,0,,anderky01
330,Kyle Anderson,32,UTA,SF,20,0,401,57,109,.523,3,5,.600,54,104,.519,.537,25,38,.658,19,47,66,61,23,10,17,46,142,0,,anderky01
330,Kyle Anderson,32,MEM,SF,3,3,71,12,15,.800,0,0,,12,15,.800,.800,3,5,.600,3,10,13,3,5,4,6,11,27,0,,anderky01
331,Branden Carlson,26,OKC,C,34,2,373,68,130,.523,21,59,.356,47,71,.662,.604,9,17,.529,21,67,88,19,6,18,12,30,166,0,,carlsbr01
332,Micah Potter,27,IND,C,22,3,408,51,110,.464,27,72,.375,24,38,.632,.586,37,42,.881,18,77,95,32,8,7,16,37,166,0,,pottemi01
333,Jabari Walker,23,PHI,PF,45,6,543,58,144,.403,17,63,.270,41,81,.506,.462,32,44,.727,51,87,138,21,16,11,17,73,165,0,,walkeja01
334,Zeke Nnaji,25,DEN,PF,39,2,500,60,123,.488,11,40,.275,49,83,.590,.533,33,40,.825,29,79,108,21,13,20,21,52,164,0,,nnajize01
335,Drew Eubanks,28,SAC,C,32,11,430,69,114,.605,1,5,.200,68,109,.624,.610,24,43,.558,27,57,84,9,12,19,25,41,163,0,,eubandr01
336,Kasparas Jakučionis,19,MIA,PG,29,8,494,51,128,.398,37,82,.451,14,46,.304,.543,24,27,.889,24,46,70,70,19,2,27,57,163,0,,jakucka01
337,Lonzo Ball,28,CLE,PG,35,3,728,53,176,.301,40,147,.272,13,29,.448,.415,14,21,.667,26,114,140,136,45,9,52,46,160,0,,balllo01
338,Trayce Jackson-Davis,25,2TM,C,38,1,436,62,107,.579,1,1,1.000,61,106,.575,.584,35,62,.565,56,69,125,34,15,20,19,40,160,0,,jackstr02
338,Trayce Jackson-Davis,25,GSW,C,36,1,411,60,102,.588,1,1,1.000,59,101,.584,.593,29,52,.558,47,65,112,32,13,19,18,40,150,0,,jackstr02
338,Trayce Jackson-Davis,25,TOR,C,2,0,25,2,5,.400,0,0,,2,5,.400,.400,6,10,.600,9,4,13,2,2,1,1,0,10,0,,jackstr02
339,Caleb Martin,30,DAL,SF,46,10,644,61,137,.445,14,38,.368,47,99,.475,.496,22,35,.629,23,90,113,72,31,11,31,66,158,0,,martica02
340,Dylan Cardwell,24,SAC,C,29,1,616,67,112,.598,0,1,.000,67,111,.604,.598,22,40,.550,91,132,223,36,22,47,24,108,156,0,,cardwdy01
341,Jordan Hawkins,23,NOP,SG,36,0,498,56,172,.326,30,96,.313,26,76,.342,.413,14,18,.778,14,48,62,27,8,7,22,22,156,0,,hawkijo01
342,Jett Howard,22,ORL,SF,33,0,342,53,136,.390,29,86,.337,24,50,.480,.496,21,23,.913,11,31,42,27,6,4,7,31,156,0,,howarje01
343,Guerschon Yabusele,30,2TM,C,45,3,473,58,146,.397,30,92,.326,28,54,.519,.500,9,14,.643,29,75,104,24,10,7,18,47,155,0,,yabusgu01
343,Guerschon Yabusele,30,NYK,C,41,0,366,42,107,.393,20,68,.294,22,39,.564,.486,8,12,.667,24,63,87,18,6,5,15,36,112,0,,yabusgu01
343,Guerschon Yabusele,30,CHI,C,4,3,107,16,39,.410,10,24,.417,6,15,.400,.538,1,2,.500,5,12,17,6,4,2,3,11,43,0,,yabusgu01
344,Keaton Wallace,26,ATL,PG,40,2,446,57,136,.419,34,84,.405,23,52,.442,.544,6,11,.545,3,43,46,80,21,5,22,38,154,0,,wallake01
345,Rob Dillingham,21,2TM,PG,38,0,400,60,170,.353,13,39,.333,47,131,.359,.391,21,27,.778,8,44,52,70,25,3,43,43,154,0,,dilliro01
345,Rob Dillingham,21,MIN,PG,35,0,326,47,141,.333,12,33,.364,35,108,.324,.376,15,20,.750,5,36,41,58,19,3,36,36,121,0,,dilliro01
345,Rob Dillingham,21,CHI,PG,3,0,74,13,29,.448,1,6,.167,12,23,.522,.466,6,7,.857,3,8,11,12,6,0,7,7,33,0,,dilliro01
346,Tyus Jones,29,2TM,PG,51,9,805,58,169,.343,31,110,.282,27,59,.458,.435,6,6,1.000,9,46,55,129,35,3,16,28,153,0,,jonesty01
346,Tyus Jones,29,ORL,PG,48,8,754,54,158,.342,30,102,.294,24,56,.429,.437,6,6,1.000,9,44,53,116,33,3,14,25,144,0,,jonesty01
346,Tyus Jones,29,DAL,PG,3,1,51,4,11,.364,1,8,.125,3,3,1.000,.409,0,0,,0,2,2,13,2,0,2,3,9,0,,jonesty01
347,Tony Bradley,28,IND,C,38,3,416,59,106,.557,1,2,.500,58,104,.558,.561,32,43,.744,56,51,107,20,6,7,17,60,151,0,,bradlto01
348,Zach Edey,23,MEM,C,11,11,284,62,98,.633,1,5,.200,61,93,.656,.638,25,32,.781,43,79,122,12,7,21,26,37,150,0,,edeyza01
349,Carter Bryant,20,SAS,PF,43,0,398,53,143,.371,25,78,.321,28,65,.431,.458,15,22,.682,19,66,85,14,9,9,13,39,146,0,,bryanca01
350,Nick Smith Jr.,21,LAL,SG,25,1,318,56,133,.421,27,69,.391,29,64,.453,.523,7,11,.636,2,18,20,28,9,2,19,24,146,0,,smithni01
351,Josh Green,25,CHO,SG,31,0,500,48,104,.462,33,75,.440,15,29,.517,.620,14,16,.875,28,32,60,31,18,3,19,35,143,0,,greenjo02
352,Jericho Sims,27,MIL,C,39,7,613,64,78,.821,0,0,,64,78,.821,.821,15,23,.652,54,112,166,32,8,9,37,70,143,0,,simsje01
353,Gabe Vincent,29,2TM,PG,30,7,578,46,136,.338,38,107,.355,8,29,.276,.478,10,11,.909,8,20,28,41,17,1,12,54,140,0,,vincega01
353,Gabe Vincent,29,LAL,PG,29,7,559,45,130,.346,38,103,.369,7,27,.259,.492,10,11,.909,7,20,27,37,14,1,12,53,138,0,,vincega01
353,Gabe Vincent,29,ATL,PG,1,0,19,1,6,.167,0,4,.000,1,2,.500,.167,0,0,,1,0,1,4,3,0,0,1,2,0,,vincega01
354,Ousmane Dieng,22,2TM,C,30,1,359,52,116,.448,26,65,.400,26,51,.510,.560,8,10,.800,9,48,57,34,4,11,8,28,138,0,,diengou01
354,Ousmane Dieng,22,OKC,C,27,0,295,38,91,.418,18,49,.367,20,42,.476,.516,6,6,1.000,8,34,42,28,2,7,8,22,100,0,,diengou01
354,Ousmane Dieng,22,MIL,C,3,1,64,14,25,.560,8,16,.500,6,9,.667,.720,2,4,.500,1,14,15,6,2,4,0,6,38,0,,diengou01
355,Rayan Rupert,21,POR,SG,48,0,577,53,147,.361,22,71,.310,31,76,.408,.435,9,14,.643,23,63,86,34,29,2,28,60,137,0,,ruperra01
356,Jamir Watkins,24,WAS,SG,27,4,492,48,120,.400,15,64,.234,33,56,.589,.463,23,33,.697,26,70,96,22,21,14,16,68,134,0,,watkija01
357,Bogdan Bogdanović,33,LAC,SG,17,3,372,45,121,.372,24,74,.324,21,47,.447,.471,16,19,.842,5,42,47,44,8,1,22,40,130,0,,bogdabo01
358,Cam Christie,20,LAC,SG,38,0,379,43,108,.398,12,42,.286,31,66,.470,.454,32,42,.762,12,48,60,22,10,3,16,17,130,0,,chrisca02
359,Malaki Branham,22,WAS,SG,28,0,275,43,91,.473,14,37,.378,29,54,.537,.549,28,34,.824,12,32,44,23,10,3,15,21,128,0,,branhma01
360,Yanic Konan Niederhäuser,22,LAC,C,34,0,306,48,71,.676,0,3,.000,48,68,.706,.676,29,43,.674,29,50,79,10,2,19,19,46,125,0,,konanya01
361,Jevon Carter,30,2TM,PG,24,0,258,41,106,.387,32,80,.400,9,26,.346,.538,10,10,1.000,5,22,27,19,13,2,11,19,124,0,,carteje01
361,Jevon Carter,30,CHI,PG,23,0,254,41,103,.398,32,78,.410,9,25,.360,.553,10,10,1.000,5,21,26,19,13,2,11,19,124,0,,carteje01
361,Jevon Carter,30,ORL,PG,1,0,4,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,0,,carteje01
362,Mohamed Diawara,20,NYK,SF,45,6,318,47,103,.456,26,63,.413,21,40,.525,.583,3,6,.500,10,43,53,24,11,5,15,29,123,0,,diawamo01
363,Devin Carter,23,SAC,PG,20,1,268,43,111,.387,9,48,.188,34,63,.540,.428,27,33,.818,12,32,44,38,12,5,20,24,122,0,,cartede02
364,Jonathan Isaac,28,ORL,PF,44,0,439,41,94,.436,7,36,.194,34,58,.586,.473,32,50,.640,33,77,110,17,17,25,16,34,121,0,,isaacjo01
365,Nick Richards,28,2TM,C,31,2,320,45,91,.495,2,3,.667,43,88,.489,.505,29,41,.707,42,66,108,9,7,19,31,49,121,0,,richani01
365,Nick Richards,28,PHO,C,28,2,254,35,71,.493,0,0,,35,71,.493,.493,19,28,.679,35,56,91,8,4,14,25,39,89,0,,richani01
365,Nick Richards,28,CHI,C,3,0,66,10,20,.500,2,3,.667,8,17,.471,.550,10,13,.769,7,10,17,1,3,5,6,10,32,0,,richani01
366,Jamison Battle,24,TOR,SF,39,2,330,46,91,.505,22,53,.415,24,38,.632,.626,6,9,.667,13,42,55,15,5,2,14,29,120,0,,battlja01
367,Javon Small,23,MEM,PG,20,0,297,41,105,.390,18,50,.360,23,55,.418,.476,20,25,.800,14,30,44,64,7,3,22,25,120,0,,smallja01
368,Moritz Wagner,28,ORL,C,13,0,156,41,80,.513,15,33,.455,26,47,.553,.606,23,26,.885,9,33,42,7,7,1,8,23,120,0,,wagnemo01
369,Ty Jerome,28,MEM,SG,6,6,121,38,71,.535,14,35,.400,24,36,.667,.634,28,33,.848,3,10,13,36,7,2,10,13,118,0,,jeromty01
370,Dalen Terry,23,2TM,SG,35,0,384,45,104,.433,19,47,.404,26,57,.456,.524,9,17,.529,19,46,65,44,22,11,22,33,118,0,,terryda01
370,Dalen Terry,23,CHI,SG,34,0,377,45,102,.441,19,46,.413,26,56,.464,.534,9,17,.529,19,45,64,43,22,11,21,33,118,0,,terryda01
370,Dalen Terry,23,PHI,SG,1,0,7,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,1,0,0,1,0,0,0,,terryda01
371,Liam McNeeley,20,CHO,SF,28,0,342,34,88,.386,22,58,.379,12,30,.400,.511,25,31,.806,11,49,60,23,5,3,12,35,115,0,,mcneeli01
372,Pete Nance,25,MIL,PF,23,0,247,46,75,.613,23,43,.535,23,32,.719,.767,0,0,,11,36,47,14,7,4,10,19,115,0,,nancepe01
373,Dwight Powell,34,DAL,C,40,7,541,37,59,.627,0,2,.000,37,57,.649,.627,40,62,.645,53,89,142,38,21,12,20,73,114,0,,poweldw01
374,Jeremy Sochan,22,SAS,PF,28,0,358,47,99,.475,9,35,.257,38,64,.594,.520,11,16,.688,26,47,73,28,10,5,18,50,114,0,,sochaje01
375,Ben Saraf,19,BRK,SG,22,5,384,38,113,.336,12,48,.250,26,65,.400,.389,24,33,.727,7,29,36,60,17,4,40,28,112,0,,sarafbe01
376,Kobe Brown,26,2TM,PF,36,1,342,38,93,.409,14,51,.275,24,42,.571,.484,22,28,.786,22,44,66,31,10,2,17,23,112,0,,brownko01
376,Kobe Brown,26,LAC,PF,34,0,295,33,84,.393,13,49,.265,20,35,.571,.470,21,26,.808,18,35,53,27,9,2,15,16,100,0,,brownko01
376,Kobe Brown,26,IND,PF,2,1,47,5,9,.556,1,2,.500,4,7,.571,.611,1,2,.500,4,9,13,4,1,0,2,7,12,0,,brownko01
377,Moussa Cisse,23,DAL,C,30,1,359,42,69,.609,0,0,,42,69,.609,.609,27,56,.482,55,79,134,7,10,34,22,56,111,0,,cissemo01
378,Ethan Thompson,26,IND,SG,22,5,352,39,102,.382,21,66,.318,18,36,.500,.485,11,16,.688,11,29,40,32,13,6,12,43,110,0,,thompet01
379,Myron Gardner,24,MIA,SF,26,4,254,39,84,.464,18,45,.400,21,39,.538,.571,13,18,.722,26,52,78,27,14,5,6,44,109,0,,gardnmy01
380,Kelly Olynyk,34,SAS,C,30,0,284,38,79,.481,9,38,.237,29,41,.707,.538,20,30,.667,19,37,56,36,13,1,18,36,105,0,,olynyke01
381,Julian Phillips,22,2TM,SF,37,2,342,39,92,.424,16,50,.320,23,42,.548,.511,11,13,.846,22,22,44,7,19,6,7,34,105,0,,phillju01
381,Julian Phillips,22,CHI,SF,35,2,334,37,88,.420,16,49,.327,21,39,.538,.511,9,11,.818,22,22,44,7,17,6,7,33,99,0,,phillju01
381,Julian Phillips,22,MIN,SF,2,0,8,2,4,.500,0,1,.000,2,3,.667,.500,2,2,1.000,0,0,0,0,2,0,0,1,6,0,,phillju01
382,John Konchar,29,2TM,SG,34,1,513,41,86,.477,13,47,.277,28,39,.718,.552,10,16,.625,26,81,107,48,36,17,15,39,105,0,,konchjo01
382,John Konchar,29,MEM,SG,30,1,435,37,71,.521,13,39,.333,24,32,.750,.613,8,13,.615,20,72,92,40,31,13,14,30,95,0,,konchjo01
382,John Konchar,29,UTA,SG,4,0,78,4,15,.267,0,8,.000,4,7,.571,.267,2,3,.667,6,9,15,8,5,4,1,9,10,0,,konchjo01
383,Jeremiah Robinson-Earl,25,2TM,PF,22,3,361,37,100,.370,10,41,.244,27,59,.458,.420,17,18,.944,36,67,103,15,9,1,12,26,101,0,,robinje02
383,Jeremiah Robinson-Earl,25,IND,PF,17,3,300,29,83,.349,8,33,.242,21,50,.420,.398,13,14,.929,32,56,88,12,7,1,10,23,79,0,,robinje02
383,Jeremiah Robinson-Earl,25,DAL,PF,5,0,61,8,17,.471,2,8,.250,6,9,.667,.529,4,4,1.000,4,11,15,3,2,0,2,3,22,0,,robinje02
384,Terrence Shannon Jr.,25,MIN,SG,22,0,282,32,81,.395,15,37,.405,17,44,.386,.488,21,27,.778,6,22,28,14,7,1,15,29,100,0,,shannte01
385,Zach Collins,28,CHI,C,10,0,184,37,64,.578,9,21,.429,28,43,.651,.648,14,20,.700,16,40,56,15,2,4,10,18,97,0,,colliza01
386,Gary Harris,31,MIL,SG,38,2,553,33,74,.446,20,47,.426,13,27,.481,.581,8,9,.889,13,41,54,41,21,6,16,43,94,0,,harriga01
387,Duop Reath,29,POR,C,32,0,258,33,74,.446,23,55,.418,10,19,.526,.601,5,6,.833,10,28,38,10,5,8,7,28,94,0,,reathdu01
388,Marcus Sasser,25,DET,PG,17,0,167,32,69,.464,18,44,.409,14,25,.560,.594,10,11,.909,1,14,15,33,11,2,12,14,92,0,,sassema01
389,Grant Williams,27,CHO,PF,14,1,266,27,75,.360,14,52,.269,13,23,.565,.453,22,27,.815,17,39,56,22,6,4,10,20,90,0,,willigr01
390,Larry Nance Jr.,33,CLE,PF,25,2,322,35,92,.380,16,48,.333,19,44,.432,.467,3,5,.600,21,43,64,25,15,4,11,46,89,0,,nancela02
391,Amir Coffey,28,2TM,SG,32,2,298,31,66,.470,9,31,.290,22,35,.629,.538,16,19,.842,8,25,33,14,4,3,5,19,87,0,,coffeam01
391,Amir Coffey,28,MIL,SG,30,2,265,26,55,.473,7,25,.280,19,30,.633,.536,13,15,.867,6,20,26,11,3,3,4,14,72,0,,coffeam01
391,Amir Coffey,28,PHO,SG,2,0,33,5,11,.455,2,6,.333,3,5,.600,.545,3,4,.750,2,5,7,3,1,0,1,5,15,0,,coffeam01
392,Jae'Sean Tate,30,HOU,SF,32,0,267,37,73,.507,7,22,.318,30,51,.588,.555,4,7,.571,22,25,47,16,8,3,10,36,85,0,,tateja01
393,KJ Simpson,23,CHO,PG,14,2,223,31,89,.348,12,39,.308,19,50,.380,.416,10,16,.625,5,24,29,35,15,0,24,14,84,0,,simpskj01
394,Joan Beringer,19,MIN,PF,27,0,181,37,56,.661,0,0,,37,56,.661,.661,8,13,.615,28,26,54,7,3,11,8,27,82,0,,berinjo01
395,Ariel Hukporti,23,NYK,C,39,4,361,30,53,.566,1,4,.250,29,49,.592,.575,19,26,.731,39,76,115,21,5,21,21,50,80,0,,hukpoar01
396,PJ Hall,23,2TM,C,16,2,171,29,51,.569,3,5,.600,26,46,.565,.598,19,25,.760,27,35,62,7,2,9,12,18,80,0,,hallpj01
396,PJ Hall,23,MEM,C,7,0,27,5,9,.556,1,3,.333,4,6,.667,.611,2,3,.667,3,6,9,2,0,2,1,3,13,0,,hallpj01
396,PJ Hall,23,CHO,C,9,2,144,24,42,.571,2,2,1.000,22,40,.550,.595,17,22,.773,24,29,53,5,2,7,11,15,67,0,,hallpj01
397,Jalen Green,23,PHO,SG,7,2,107,27,66,.409,13,37,.351,14,29,.483,.508,11,13,.846,2,13,15,16,3,0,10,4,78,0,,greenja05
398,Garrison Mathews,29,IND,SG,15,1,196,21,52,.404,17,46,.370,4,6,.667,.567,19,23,.826,2,15,17,10,6,3,3,19,78,0,,mathega01
399,Rasheer Fleming,21,PHO,PF,30,0,209,29,82,.354,11,46,.239,18,36,.500,.421,8,11,.727,21,19,40,7,6,7,9,22,77,0,,flemira01
400,Yang Hansen,20,POR,C,34,1,255,25,84,.298,5,37,.135,20,47,.426,.327,19,20,.950,16,38,54,21,3,8,29,40,74,0,,yangha01
401,Blake Wesley,22,POR,SG,13,0,201,29,67,.433,7,22,.318,22,45,.489,.485,8,16,.500,6,19,25,39,13,1,16,17,73,0,,weslebl01
402,Walker Kessler,24,UTA,C,5,5,154,26,37,.703,6,8,.750,20,29,.690,.784,14,20,.700,23,31,54,15,7,9,16,22,72,0,,kesslwa01
403,Sharife Cooper,24,WAS,PG,12,0,171,28,52,.538,9,19,.474,19,33,.576,.625,5,7,.714,4,23,27,23,3,2,18,15,70,0,,coopesh01
404,AJ Johnson,21,2TM,SG,28,0,225,27,88,.307,7,27,.259,20,61,.328,.347,9,12,.750,8,24,32,23,7,0,18,15,70,0,,johnsaj01
404,AJ Johnson,21,WAS,SG,25,0,214,27,83,.325,7,25,.280,20,58,.345,.367,9,12,.750,8,23,31,22,7,0,18,15,70,0,,johnsaj01
